site,train,test,bbox_prec,bbox_rec,class_prec,class_rec
niwo,fold_00.csv,fold_01.csv,0.7219185671490643,0.5066500759515682,1.0,0.6874517374517375
niwo,fold_01.csv,fold_00.csv,0.7357806250545882,0.5037061812419599,1.0,0.6736596736596736
niwo,fold_20.csv,fold_21.csv,0.738545038290807,0.5135653703760692,1.0,0.6832333083270817
niwo,fold_21.csv,fold_20.csv,0.714905971806309,0.5323286791349787,0.9997489959839357,0.7341935483870968
niwo,fold_30.csv,fold_31.csv,0.74162254043616,0.5322950217589177,1.0,0.7056818181818182
niwo,fold_31.csv,fold_30.csv,0.740870933674101,0.520072716105921,1.0,0.6897936826729961
niwo,fold_40.csv,fold_41.csv,0.7340463224201967,0.5432990080447981,1.0,0.7291305186042029
niwo,fold_41.csv,fold_40.csv,0.7432975412329197,0.48428117916765706,1.0,0.6389587073608618
niwo,fold_10.csv,fold_11.csv,0.7249815967049245,0.48491999638899425,1.0,0.6547481737793156
niwo,fold_11.csv,fold_10.csv,0.7345867894191713,0.5034300676084308,1.0,0.6756075607560756
